I0,I1,I2,I3,I4,I5
4982,6237,7017,1108,-910,-198
5103,5499,6894,632,-731,99
5769,5219,6780,569,-797,228
6535,5457,6541,197,-809,612
6771,5228,5845,-400,-672,1072
6859,5140,5729,-1325,-146,1471
6974,5025,5683,-1527,540,987
6979,5219,5019,-1407,1087,320
7044,6046,4954,-1155,1078,77
6833,6808,5165,-913,917,-4
5945,6824,5175,-570,741,-171
5342,6656,5642,-96,647,-551
5125,6874,6402,554,524,-1078
5109,6889,6545,1334,97,-1431
5115,6883,6876,1335,-257,-1078
5003,6268,6997,1070,-795,-275
5123,5501,6876,712,-825,113
5718,5214,6785,673,-873,200
6419,5369,6629,400,-767,367
6749,5249,5892,-252,-513,765
6892,5106,5753,-1253,-39,1292
6984,5016,5636,-1470,617,853
7007,5258,4991,-1406,1125,281
7061,6119,4938,-1152,1082,70
6772,6857,5141,-863,815,48
5909,6836,5164,-545,674,-129
5309,6689,5776,32,622,-654
5159,6840,6446,583,718,-1301
5197,6787,6801,1124,527,-1651
5030,6492,6967,1146,453,-1599
4960,6052,7038,840,193,-1033
5176,5648,6822,682,-809,127
5807,5259,6739,915,-1429,514
6343,5444,6555,750,-1262,512
6573,5427,6219,474,-832,358
6814,5185,5645,-313,-253,566
6917,5080,5621,-1405,759,646
6892,5217,5105,-1511,1114,397
7126,5888,4872,-1399,1087,312
6981,6721,5019,-1190,779,411
6164,6982,5016,-850,615,235
5203,6795,5211,-259,347,-88
5124,6874,6215,204,222,-426
5177,6679,6822,280,797,-1077
5079,6266,6920,246,953,-1199
5151,5747,6847,-63,864,-801
5408,5265,6732,-422,589,-167
5934,5238,6761,-458,244,214
6303,5300,6699,-107,-192,299
6725,5273,6662,162,-103,-59
7032,4967,6336,35,471,-506
7114,4885,5297,-1079,1376,-297
7023,5483,4975,-1449,1388,61
6975,6249,5023,-838,868,-30
6559,6776,5223,-562,736,-174
5703,6631,5368,-314,871,-557
5320,6678,5889,167,948,-1115
5222,6777,6393,906,616,-1522
5171,6827,6508,1339,295,-1634
5081,6918,6695,1377,-322,-1055
5001,6355,6996,1285,-1120,-165
5080,5577,6919,944,-1021,77
5602,5162,6837,963,-1007,44
6311,5305,6692,549,-725,176
6706,5292,6128,96,-536,440
6951,5048,5716,-953,4,949
6984,5014,5557,-1562,781,781
7012,5273,4986,-1502,1050,452
7045,6078,4953,-1093,882,211
6794,6838,5162,-766,774,-8
5880,6811,5188,-475,712,-237
5317,6681,5818,92,697,-789
5205,6793,6400,777,692,-1469
5226,6772,6712,1235,523,-1758
5095,6633,6903,1311,369,-1680
4996,6311,7004,842,123,-965
4970,5567,7028,479,397,-876
5425,5187,6812,-8,383,-375
6139,5495,6503,-156,-576,732
6471,5526,6389,4,-1315,1311
6518,5480,6121,135,-1213,1078
6611,5388,5701,-114,-682,796
6789,5209,5636,-996,62,934
6807,5193,5371,-1304,1049,255
6983,5640,5016,-1368,1367,1
7060,6412,4938,-1518,1121,397
6601,6969,5029,-1416,851,565
5650,6973,5026,-698,434,264
5031,6966,5472,-114,-79,193
5098,6900,6447,99,75,-174
5068,6352,6931,110,471,-581
5115,5804,6883,-109,818,-709
5331,5288,6711,-579,810,-231
5797,5121,6877,-675,701,-26
6329,5083,6916,-642,654,-12
6861,5137,6797,-570,699,-129
6985,5013,6251,-450,696,-246
6920,5078,5736,-134,655,-521
6730,5391,5268,127,809,-936
6783,6122,5215,130,767,-897
6648,6794,5204,0,253,-253
5998,7138,4859,43,-562,519
5180,6966,5033,665,-1209,544
4941,7058,5518,815,-1017,202
5008,6991,6147,188,-445,257
5282,6350,6717,-1057,100,957
5274,5497,6725,-1339,560,779
5585,5279,6719,-1203,704,499
6025,5178,6821,-851,634,217
6481,5122,6877,-613,628,-15
6942,5057,6793,-389,766,-377
7019,4979,6196,-129,940,-811
6819,5179,5597,180,873,-1053
6683,5691,5316,365,832,-1197
6617,6373,5381,479,453,-932
6313,7024,4975,422,-529,107
5901,7033,4965,440,-1454,1014
5288,7072,4926,745,-1714,969
4893,7107,5434,673,-1435,762
4945,7054,6104,25,-790,765
5275,6643,6724,-294,-728,1022
5386,5800,6611,-825,-423,1248
5611,5142,6856,-967,399,568
5987,5103,6896,-877,1214,-337
6409,5055,6945,-940,1333,-393
6997,5003,6891,-785,1222,-437
7131,4867,6120,-508,1067,-559
6906,5092,5536,35,774,-809
6679,5777,5319,790,730,-1520
6522,6436,5477,994,502,-1496
6086,6842,5157,899,-114,-785
5707,6949,5051,961,-1190,229
5220,6929,5070,938,-1340,402
4895,7103,5549,809,-1282,473
4920,7079,6342,483,-909,426
5277,6617,6722,-157,-771,928
5397,5794,6601,-952,-741,1693
5767,5456,6542,-1099,-405,1504
6166,5123,6876,-1025,380,645
6430,5159,6839,-977,1255,-278
6834,5166,6771,-950,1326,-376
7083,4915,6288,-815,1209,-394
7057,4942,5561,-800,1159,-359
6966,5440,5033,-589,1139,-550
6760,6233,5238,-164,868,-704
6106,6510,5490,381,719,-1100
5667,6659,5340,902,302,-1204
5387,6888,5111,1221,-1140,-81
5124,6875,5333,1327,-1753,426
4907,7091,5831,1227,-1587,360
4898,7100,6575,1233,-1534,301
4943,6461,7056,1150,-1503,353
5023,5569,6975,693,-961,268
5613,5181,6817,527,-788,261
6531,5431,6568,83,-784,701
6758,5241,5868,-527,-761,1288
6789,5209,5664,-1231,-372,1603
6893,5105,5630,-1421,139,1282
6904,5096,5139,-1269,881,388
7054,5891,4943,-1255,1244,11
6894,6677,5104,-1001,979,22
6123,6854,5144,-750,820,-70
5412,6606,5393,-354,680,-326
5191,6807,6087,38,608,-646
5065,6934,6658,931,240,-1171
5114,6774,6885,1220,-129,-1091
4991,6231,7008,778,-266,-512
5108,5623,6891,497,-535,38
5661,5231,6766,658,-956,298
6322,5374,6624,532,-1024,492
6653,5345,6161,270,-813,543
6854,5145,5372,-608,-405,1013
6931,5067,5536,-1488,266,1222
6939,5193,5059,-1489,933,556
7046,5998,4951,-1245,990,255
6857,6781,5142,-851,776,75
6037,6845,5152,-624,708,-84
5359,6639,5521,-248,603,-355
5143,6856,6348,392,503,-895
5076,6923,6505,1304,48,-1352
5065,6933,6779,1469,-454,-1015
5011,6289,6987,1084,-753,-331
5074,5546,6924,619,-673,54
5681,5186,6813,656,-796,140
6426,5387,6611,354,-747,393
6756,5242,6006,-141,-690,831
6895,5104,5603,-1111,-245,1356
6963,5036,5453,-1498,361,1137
7008,5263,4992,-1392,927,465
7043,6149,4956,-1066,1005,61
6576,6872,5125,-872,939,-67
5814,6809,5190,-521,807,-286
5314,6685,5701,-165,784,-619
5149,6849,6494,382,648,-1030
5146,6650,6852,1115,540,-1655
5007,6392,6991,1150,550,-1700
4935,5907,7064,984,351,-1335
5223,5666,6776,757,-551,-206
5838,5272,6726,1070,-1514,444
6399,5490,6508,749,-1213,464
6581,5417,6071,336,-735,399
6825,5173,5559,-521,-187,708
6901,5098,5739,-1443,750,693
6855,5194,5142,-1481,1177,304
7070,5891,4929,-1412,1164,248
6971,6580,5027,-1103,842,261
6285,6929,5068,-845,729,116
5285,6712,5312,-200,437,-237
5171,6827,6271,326,510,-836
5145,6853,6778,877,571,-1448
5033,6519,6967,982,531,-1513
4938,5978,7060,627,514,-1141
5279,5612,6719,248,-221,-27
5762,5387,6613,231,-1275,1044
6137,5420,6579,523,-1484,961
6525,5475,6330,415,-745,330
6809,5190,5978,-300,23,277
6888,5109,5783,-1348,1210,138
6874,5125,5301,-1469,1297,172
7078,5522,4920,-1434,1225,209
7073,6340,4926,-1302,977,325
6590,6957,5042,-959,654,305
5551,6887,5111,-415,444,-29
5103,6895,5867,119,195,-314
5178,6821,6701,300,551,-851
5049,6456,6950,369,890,-1259
4999,5995,7000,347,842,-1189
5176,5405,6824,-57,612,-555
5679,5342,6657,-147,-19,166
6104,5415,6583,134,-975,841
6577,5413,6586,422,-711,289
6940,5057,6270,-140,155,-15
7054,4944,5733,-1354,1388,-34
6995,5003,5030,-1737,1627,110
7113,5801,4886,-1452,1338,114
6967,6738,5033,-943,906,37
6137,6919,5079,-653,639,14
5290,6708,5533,-161,567,-406
5205,6794,6203,110,861,-971
5173,6815,6826,403,884,-1287
5024,6347,6975,853,767,-1620
4973,5891,7025,552,774,-1326
5204,5391,6796,110,361,-471
5595,5308,6691,476,-1169,693
6283,5421,6576,1006,-1471,465
6544,5455,6327,757,-996,239
6766,5232,5844,-33,-180,213
6933,5065,5699,-1219,779,440
6851,5148,5156,-1541,1193,348
7089,5806,4908,-1480,1099,381
7005,6500,4993,-1217,799,418
6371,6951,5047,-959,721,238
5368,6770,5228,-341,486,-145
5139,6859,6125,209,402,-611
5108,6890,6711,843,416,-1259
5031,6490,6968,966,576,-1542
4943,5986,7056,586,663,-1249
5167,5508,6833,277,190,-467
5758,5407,6591,253,-1201,948
6130,5417,6582,631,-1540,909
6534,5465,6299,387,-743,356
6876,5122,5931,-562,186,376
6887,5111,5875,-1419,1151,268
6892,5105,5305,-1474,1322,152
7071,5572,4928,-1491,1307,184
7043,6364,4956,-1183,970,213
6607,6932,5067,-921,775,146
5693,6863,5136,-471,554,-83
5165,6833,5997,235,374,-609
5145,6853,6649,704,706,-1410
5053,6647,6946,959,623,-1582
4940,6113,7058,865,505,-1370
5016,5699,6983,547,189,-736
5497,5349,6649,668,-1138,470
6139,5425,6573,743,-1473,730
6489,5510,6420,543,-1099,556
6685,5313,5831,-131,-386,517
6897,5102,5947,-1279,589,690
6864,5134,5488,-1515,1195,320
6984,5375,5015,-1416,1203,213
7118,6114,4882,-1403,1100,303
6821,6941,5057,-1173,760,413
5870,6994,5005,-605,467,138
5067,6932,5408,11,64,-75
5011,6988,6331,305,49,-354
5093,6417,6904,279,532,-811
5315,5968,6684,-719,1108,-389
5280,5425,6718,-1162,940,222
5695,5201,6798,-864,662,202
6232,5097,6902,-560,521,39
6762,5145,6853,-442,613,-171
6961,5037,6490,-202,693,-491
6973,5026,5834,-7,819,-812
6937,5262,5062,-354,931,-577
6982,5991,5017,-769,775,-6
6838,6664,5160,-622,481,141
6225,6944,5055,-477,207,270
5312,6931,5068,13,-194,181
4937,7062,5657,641,-624,-17
4974,7024,6344,597,-452,-145
5177,6519,6822,123,-16,-107
5308,5593,6691,-996,631,365
5514,5317,6681,-1390,751,639
5955,5199,6798,-966,523,443
6456,5234,6765,-618,324,294
6856,5142,6701,-423,331,92
7086,4912,6209,-367,829,-462
6971,5028,5434,-681,991,-310
6908,5488,5090,-470,881,-411
6762,6206,5237,-147,834,-687
6351,6629,5368,19,750,-769
5638,6613,5386,284,488,-772
5213,6936,5064,1002,-494,-508
5022,6976,5464,1240,-1474,234
4886,7111,6081,1259,-1438,179
5031,6967,6812,945,-1136,191
5003,6133,6996,489,-992,503
5404,5424,6594,-67,-751,818
6235,5473,6526,-685,-661,1346
6596,5338,6661,-1088,-210,1298
6826,5172,6743,-1415,1193,222
6935,5063,6370,-1322,1491,-169
7099,4899,5740,-1134,1310,-176
6971,5119,5029,-1165,1403,-238
7044,6120,4954,-788,1223,-435
6761,6799,5198,-587,862,-275
5927,6743,5256,-495,849,-354
5341,6657,5732,39,779,-818
5188,6811,6293,917,430,-1347
5092,6906,6254,1476,-127,-1349
5055,6943,6650,1398,-819,-579
4955,6385,7043,1310,-1179,-131
5023,5575,6976,922,-928,6
5609,5151,6848,715,-750,35
6443,5353,6645,242,-584,342
6794,5205,5968,-377,-576,953
6927,5072,5774,-1216,-85,1301
7021,4978,5578,-1412,585,827
6991,5349,5007,-1306,1059,247
7001,6152,4998,-775,875,-100
6651,6779,5220,-576,742,-166
5808,6669,5329,-353,790,-437
5303,6695,5813,212,767,-979
5161,6838,6193,1079,323,-1402
5025,6975,6178,1447,-333,-1114
5035,6963,6798,1355,-988,-367
4942,6262,7058,1232,-1187,-45
5056,5470,6943,822,-860,38
5766,5157,6841,620,-745,125
6553,5405,6594,246,-670,424
6783,5215,5929,-200,-687,887
6855,5142,5438,-1013,-384,1397
6858,5140,5180,-1304,-74,1378
6971,5390,5028,-1203,400,803
6966,6194,5032,-840,861,-21
6586,6779,5219,-814,963,-149
5837,6691,5307,-628,923,-295
5377,6622,5664,-292,771,-479
5132,6867,6440,528,390,-918
5033,6965,6285,1438,-308,-1130
5067,6932,6833,1489,-955,-534
4947,6220,7050,1304,-1076,-228
5056,5447,6942,812,-793,-19
5774,5141,6857,713,-797,84
6600,5399,6597,235,-626,391
6760,5238,5843,-257,-757,1014
6805,5194,5374,-1023,-550,1573
6838,5233,5160,-1389,-333,1722
6993,5419,5006,-1347,102,1245
6980,6051,5018,-1102,898,204
6699,6803,5196,-1083,1180,-97
5867,6769,5229,-818,1005,-187
5421,6578,5540,-464,790,-326
5209,6789,6322,172,466,-638
5070,6929,6393,1322,-142,-1180
5089,6910,6773,1514,-797,-717
4953,6297,7045,1362,-1017,-345
5024,5507,6975,939,-810,-129
5654,5116,6882,742,-740,-2
6508,5322,6677,304,-570,266
6799,5201,5878,-327,-589,916
6842,5156,5476,-1106,-414,1520
6840,5182,5159,-1280,-253,1533
6958,5463,5040,-1198,161,1037
6948,6080,5049,-758,791,-33
6648,6763,5236,-840,1104,-264
5888,6695,5304,-687,1013,-326
5397,6601,5591,-314,789,-475
5127,6872,6374,516,345,-861
5002,6997,6137,1443,-450,-993
5054,6944,6787,1519,-1135,-384
4935,6294,7064,1357,-1202,-155
5026,5466,6972,867,-862,-5
5711,5119,6880,599,-700,101
6630,5368,6622,143,-621,478
6797,5203,5838,-361,-758,1119
6805,5194,5378,-1002,-567,1569
6881,5399,5117,-1118,-530,1648
7050,5740,4949,-1014,-409,1423
6941,6079,5058,-858,267,591
6630,6716,5282,-985,1213,-228
5904,6672,5326,-875,1211,-336
5452,6547,5465,-539,847,-308
5163,6836,6001,158,159,-317
5001,6997,6211,1285,-914,-371
5055,6944,6819,1535,-1234,-301
4911,6349,7087,1437,-1180,-257
4982,5513,7017,927,-791,-136
5626,5077,6921,601,-629,28
6572,5281,6717,307,-586,279
6735,5263,5856,-129,-748,877
6776,5223,5348,-317,-1005,1322
6930,5479,5068,-797,-799,1596
7027,5924,4971,-841,-698,1539
7020,6479,4980,-580,-456,1036
6619,6593,5379,-731,799,-68
5843,6651,5348,-1106,1711,-605
5513,6486,5637,-939,1448,-509
5462,6536,5989,-501,875,-374
5229,6769,6564,370,208,-578
5172,6826,6484,1513,-796,-717
5121,6589,6878,1524,-1042,-482
4899,5984,7100,1377,-901,-476
5045,5213,6953,1367,-660,-707
5913,4995,7003,998,-512,-486
6826,5083,6916,369,-139,-230
6963,5037,5907,-35,-16,51
6766,5547,5232,45,-688,643
6716,5929,5282,765,-1216,451
6788,6465,5211,885,-1028,143
6514,6856,5142,643,-845,202
5922,6970,5028,532,-704,172
5359,6957,5041,427,-589,162
5077,6922,5255,-39,-568,607
5116,6882,5907,-913,-480,1393
5329,6669,6597,-643,-648,1291
5226,5993,6773,-233,-484,717
5020,4989,7009,130,406,-536
5316,4815,7183,645,1249,-1894
6083,4735,7263,681,1250,-1931
7028,4971,6870,739,791,-1530
6925,5073,5646,820,115,-935
6886,5926,5112,821,-849,28
6733,6548,5267,1224,-1280,56
6353,6709,5288,1521,-1271,-250
5956,6795,5203,1291,-906,-385
5492,6813,5185,935,-623,-312
5089,6909,5401,508,-458,-50
5122,6877,5855,28,-318,290
5372,6627,6427,-825,8,817
5310,6135,6689,-844,112,732
5278,5521,6720,-524,255,269
5179,4984,7015,13,592,-605
5628,4755,7243,913,845,-1758
6471,4892,7106,1020,752,-1772
6914,5084,6214,1385,109,-1494
6750,5427,5248,1197,-941,-256
6726,6066,5273,1206,-1167,-39
6652,6514,5347,1351,-1151,-200
6382,6742,5257,1067,-992,-75
6018,6878,5121,739,-785,46
5448,6973,5025,504,-769,265
5098,6902,5263,257,-806,549
5149,6849,5615,-697,-548,1245
5257,6742,6412,-1027,-532,1559
5332,6198,6667,-591,-636,1227
5225,5335,6774,-321,-30,351
5274,4911,7087,134,1082,-1216
5711,4766,7232,473,1508,-1981
6530,4883,7116,677,1221,-1898
7023,4976,6281,1078,426,-1504
6771,5425,5228,705,-291,-414
6745,6195,5253,749,-1023,274
6678,6582,5320,1087,-1388,301
6439,6775,5223,1032,-1402,370
6097,6924,5075,793,-1220,427
5503,7020,4978,611,-1125,514
5072,6927,5225,323,-813,490
5169,6830,5779,-1018,-239,1257
5315,6442,6683,-1269,330,939
5340,5809,6658,-1130,743,387
5356,5425,6644,-946,830,116
5573,5234,6764,-622,770,-148
5834,4972,7027,-147,600,-453
6194,4866,7132,486,804,-1290
6937,5061,6768,1167,709,-1876
6895,5104,5834,1168,408,-1576
6734,5759,5266,885,-47,-838
6724,6508,5275,992,-861,-131
6540,6778,5220,946,-1106,160
6121,6932,5066,814,-1109,295
5572,6994,5005,719,-1012,293
5045,6952,5215,478,-790,312
5094,6904,5551,-283,-467,750
5307,6691,6485,-1115,-204,1319
5371,5978,6629,-985,105,880
5319,5340,6679,-732,639,93
5511,5239,6759,-497,1040,-543
5665,5014,6985,-103,1073,-970
6049,4825,7174,329,1184,-1513
6804,4990,7009,772,1234,-2006
7014,4984,6126,1010,730,-1740
6748,5251,5336,698,480,-1178
6759,6341,5239,722,-101,-621
6542,6797,5202,1014,-1101,87
6177,6891,5109,1109,-1381,272
5723,6989,5009,1069,-1306,237
5107,6922,5076,893,-1191,298
4982,7016,5714,441,-719,278
5225,6773,6053,-562,-335,897
5336,6265,6663,-1173,-159,1332
5367,5488,6630,-1188,290,898
5630,5255,6744,-895,840,55
5911,5170,6828,-752,994,-242
6334,5064,6935,-648,992,-344
6968,5031,6936,-569,1145,-576
7098,4901,6244,-435,1193,-758
6934,5065,5643,20,997,-1017
6676,5651,5322,432,971,-1403
6572,6315,5427,814,597,-1411
6256,6898,5101,660,-201,-459
5865,6993,5006,757,-1467,710
5390,7013,4986,937,-1782,845
4865,7133,5251,844,-1710,866
4774,7225,6233,523,-1332,809
4955,6802,7044,380,-1011,631
5089,5751,6910,139,-792,653
5743,5332,6666,-224,-384,608
6387,5247,6752,-932,1,931
6793,5162,6835,-1172,854,318
6936,5063,6460,-1119,1147,-28
7105,4893,5831,-879,959,-80
6912,5086,5143,-670,868,-198
6796,5842,5202,-126,755,-629
6355,6477,5520,801,647,-1448
5880,6472,5526,1084,597,-1681
5574,6603,5397,1099,240,-1339
5299,6824,5174,998,-681,-317
5093,6904,5548,895,-1173,278
4925,7074,6088,817,-1175,358
4999,7000,6847,1123,-1417,294
4943,6196,7056,893,-1300,407
5151,5396,6846,823,-887,64
5802,5250,6749,576,-769,193
6557,5360,6639,230,-744,514
6865,5133,5907,-430,-404,834
6971,5027,5794,-1246,206,1040
6937,5061,5306,-1039,408,631
6978,5566,5020,-705,664,41
6892,6322,5107,-514,703,-189
6400,6720,5278,-515,759,-244
5556,6518,5480,-19,692,-673
5271,6728,5802,907,302,-1209
5104,6894,5584,1521,-842,-679
5049,6950,6069,1481,-1313,-168
4997,7001,6721,1353,-1272,-81
4947,6419,7053,1290,-1284,-6
5007,5559,6991,890,-953,63
5604,5141,6857,626,-641,15
6475,5340,6658,230,-573,343
6800,5198,5840,-475,-545,1020
6832,5167,5528,-1108,-485,1593
6867,5132,5218,-1310,-260,1570
6942,5301,5056,-1227,253,974
6972,6050,5026,-867,972,-105
6702,6763,5237,-871,1139,-268
5922,6709,5290,-699,1040,-341
5405,6594,5562,-308,796,-488
5127,6871,6299,551,300,-851
5001,6997,6080,1449,-540,-909
5054,6944,6745,1499,-1110,-389
4932,6351,7066,1388,-1214,-174
4997,5539,7001,904,-882,-22
5658,5105,6894,594,-673,79
6603,5348,6650,94,-548,454
6831,5167,5825,-495,-627,1122
6828,5170,5450,-1050,-492,1542
6844,5255,5155,-1196,-305,1501
6971,5606,5027,-948,-71,1019
6925,6019,5073,-654,543,111
6654,6731,5266,-822,1108,-286
5922,6736,5262,-822,1090,-268
5404,6595,5471,-451,628,-177
5065,6933,6118,332,42,-374
4966,7031,6288,1361,-871,-490
5031,6949,6967,1513,-1161,-352
4914,6150,7084,1223,-1038,-185
5067,5320,6931,708,-700,-8
5952,5162,6836,392,-550,158
6687,5311,6301,-226,-511,737
6814,5184,5776,-897,-521,1418
6815,5184,5452,-1177,-370,1547
6874,5284,5123,-1108,-245,1353
6981,5623,5018,-929,126,803
6885,6213,5112,-698,821,-123
6500,6748,5251,-855,1160,-305
5814,6706,5293,-759,1039,-280
5380,6620,5610,-415,646,-231
5081,6917,6301,374,187,-561
4966,7033,6323,1397,-685,-712
5013,6871,6986,1562,-1164,-398
4911,6047,7087,1262,-1036,-226
5090,5233,6910,838,-787,-51
6013,5113,6886,630,-748,118
6705,5294,6379,89,-641,552
6775,5223,5660,-258,-909,1167
6803,5262,5197,-852,-780,1632
6915,5592,5083,-1036,-724,1760
7071,6016,4928,-823,-629,1452
6908,6408,5090,-821,-13,834
6402,6710,5289,-1071,1376,-305
5724,6617,5380,-981,1421,-440
5467,6531,5682,-679,1041,-362
5315,6684,6258,-30,448,-418
5093,6905,6319,1182,-340,-842
5152,6847,6738,1571,-1048,-523
4941,6375,7058,1474,-1122,-352
4939,5577,7059,1424,-927,-497
5490,5013,6987,1141,-746,-395
6416,5064,6933,493,-454,-39
6952,5047,6193,-97,-104,201
6781,5325,5218,-323,-506,829
6732,5647,5268,161,-1117,956
6711,6154,5287,827,-1001,174
6692,6687,5306,870,-778,-92
6223,6852,5147,591,-617,26
5712,6948,5051,503,-653,150
5128,6890,5109,505,-840,335
4999,7000,5625,328,-825,497
5095,6903,6106,-171,-759,930
5311,6600,6687,-367,-943,1310
5257,5865,6741,-252,-738,990
5328,5139,6859,-14,-57,71
5847,4875,7123,-17,1041,-1024
6685,4932,7066,-460,1484,-1024
7095,4905,6617,-728,1260,-532
7055,4944,5862,-101,567,-466
6714,5463,5285,831,288,-1119
6709,6411,5290,1047,-78,-969
6343,6796,5203,1053,-776,-277
5973,6829,5169,1056,-1099,43
5582,6883,5116,941,-1013,72
5066,6932,5178,700,-968,268
6176,6907,5092,-830,802,28
5376,6675,5324,-352,577,-225
5198,6800,6138,105,661,-766
5118,6880,6770,897,497,-1394
5067,6586,6930,1247,327,-1574
4957,6055,7042,909,309,-1218
5072,5644,6926,651,-177,-474
5598,5238,6761,931,-1228,297
6273,5367,6631,723,-1101,378
6565,5435,6265,408,-833,425
6790,5207,5541,-431,-369,800
6917,5082,5813,-1441,436,1005
6868,5130,5250,-1489,1093,396
7065,5690,4933,-1425,1182,243
7007,6464,4990,-1109,880,229
6430,6931,5067,-906,770,136
5522,6783,5216,-395,519,-124
5205,6793,6067,202,425,-627
5127,6871,6677,751,628,-1379
5039,6634,6960,1078,504,-1582
4938,6135,7061,854,401,-1255
5093,5729,6904,514,-181,-333
5583,5303,6696,666,-1304,638
6207,5431,6567,701,-1438,737
6518,5481,6324,455,-985,530
6737,5263,5720,-321,-323,644
6887,5113,5905,-1366,623,743
6852,5146,5410,-1479,1160,319
7010,5476,4988,-1385,1174,211
7084,6232,4915,-1384,1003,381
6713,6939,5059,-1106,686,420
5795,6967,5031,-527,444,83
5072,6926,5501,89,11,-100
4956,7044,6365,467,-47,-420
5069,6599,6930,591,167,-758
5257,5882,6742,-206,844,-638
5328,5406,6670,-1173,909,264
5742,5225,6773,-944,631,313
6244,5122,6876,-612,546,66
6781,5154,6843,-548,699,-151
7046,4952,6414,-546,913,-367
7071,4928,5687,-639,1028,-389
6914,5221,5085,-611,1042,-431
6891,5990,5108,-402,948,-546
6429,6548,5450,63,770,-833
5700,6520,5478,653,741,-1394
5352,6665,5334,1019,230,-1249
5124,6876,5227,1243,-1182,-61
4968,7030,5745,1205,-1535,330
4833,7165,6471,1203,-1504,301
4923,6680,7077,1216,-1511,295
4926,5664,7072,825,-1103,278
5557,5091,6907,772,-904,132
6380,5245,6754,475,-799,324
6715,5285,6094,151,-804,653
6834,5164,5248,-530,-622,1152
6861,5368,5138,-1315,-487,1802
7008,5650,4990,-1318,-402,1720
7032,6057,4967,-1190,25,1165
6802,6673,5196,-1019,1057,-38
5932,6822,5177,-1005,1326,-321
5421,6577,5460,-704,964,-260
5278,6720,6072,-365,629,-264
5070,6928,6806,698,203,-901
5076,6921,6812,1575,-568,-1007
4932,6220,7067,1484,-954,-530
5046,5418,6953,966,-742,-224
5728,5097,6901,745,-811,66
6583,5322,6677,392,-676,284
6696,5303,5815,-86,-823,909
6753,5244,5288,-380,-977,1357
6885,5491,5114,-920,-765,1685
7034,5833,4964,-939,-594,1533
7014,6290,4984,-902,-148,1050
6678,6722,5277,-1012,1191,-179
5819,6738,5261,-1045,1444,-399
5488,6511,5613,-707,1025,-318
5393,6605,6108,-394,721,-327
5167,6831,6702,581,230,-811
5140,6857,6588,1524,-676,-848
5027,6459,6971,1466,-1062,-404
4935,5719,7063,1361,-902,-459
5289,5081,6917,1108,-676,-432
6178,5064,6933,530,-469,-61
6869,5129,6425,-3,-146,149
6865,5133,5528,-320,-255,575
6966,5478,5033,-542,-594,1136
6992,5947,5006,-454,-790,1244
6753,6509,5246,165,-611,446
6213,6551,5447,662,-34,-628
5733,6470,5528,550,871,-1421
5398,6600,5595,622,533,-1155
5099,6899,5263,973,-815,-158
4995,7004,5815,1131,-1676,545
4896,7102,6523,1336,-1751,415
4926,6641,7072,1491,-1825,334
4928,5608,7070,1153,-1360,207
5527,5063,6936,901,-923,22
6329,5206,6793,493,-602,109
6775,5223,6190,146,-555,409
6899,5099,5341,-404,-476,880
6911,5325,5088,-1089,-299,1388
7030,5907,4967,-861,-409,1270
6995,6522,5004,-400,-494,894
6599,6618,5382,-316,383,-67
5884,6653,5345,-902,1522,-620
5525,6475,5632,-886,1448,-562
5470,6530,5993,-570,977,-407
5310,6690,6565,162,415,-577
5153,6845,6418,1406,-478,-928
5153,6640,6846,1513,-1009,-504
4923,6026,7075,1350,-950,-400
5029,5266,6970,1379,-691,-688
5847,4984,7015,1172,-598,-574
6737,5024,6975,404,-125,-279
7003,4996,6066,12,115,-127
6781,5503,5217,76,-487,411
6704,5975,5294,897,-1211,314
6763,6461,5234,1123,-1138,15
6500,6834,5165,801,-921,120
5933,6955,5043,627,-754,127
5333,6934,5064,499,-629,130
5065,6934,5291,114,-518,404
5128,6870,5854,-780,-416,1196
5304,6694,6552,-739,-580,1319
5227,6051,6771,-275,-593,868
4992,5070,7007,270,178,-448
5313,4823,7175,897,1156,-2053
6058,4706,7292,739,1331,-2070
7030,4965,7034,737,916,-1653
7033,4965,5907,601,499,-1100
6869,5740,5128,517,-170,-347
6786,6591,5213,947,-1131,184
6389,6755,5243,1490,-1411,-79
5973,6818,5179,1412,-1173,-239
5495,6825,5174,1088,-741,-347
5200,6798,5632,541,-237,-304
5405,6594,6104,-308,605,-297
5403,6596,6574,-985,856,129
5250,6165,6748,-492,462,30
4911,5872,7087,300,5,-305
5042,5296,6957,1497,-422,-1075
5753,5048,6950,1295,-508,-787
6518,5112,6888,770,-385,-385
6838,5161,6330,637,-237,-400
6633,5365,5427,623,-520,-103
6756,5792,5243,657,-815,158
6859,6319,5140,430,-788,358
6940,6876,5059,41,-885,844
6570,7119,4880,-334,-877,1211
5818,7059,4939,-853,-393,1246
5297,6701,5721,-1267,745,522
5341,6658,6420,-1294,1314,-20
5427,6206,6571,-1187,1299,-112
5380,5903,6619,-947,1115,-168
5365,5617,6633,-495,921,-426
5144,5305,6855,118,862,-980
5298,4992,7006,1076,735,-1811
5977,4807,7191,1262,665,-1927
6819,4955,7043,1194,761,-1955
7038,4960,6045,1104,467,-1571
6781,5379,5217,610,144,-754
6850,6471,5149,346,-461,115
6602,6763,5235,842,-1266,424
6250,6900,5098,994,-1460,466
5755,7022,4977,941,-1332,391
5110,6943,5057,699,-1097,398
5031,6968,5479,18,-523,505
