I0,I1,I2
-1575,-594,2169
-1336,-1039,2375
-891,-1377,2268
-453,-1645,2098
66,-1959,1893
470,-2194,1724
1002,-2371,1369
1365,-2367,1002
1645,-2128,483
1996,-1922,-74
2297,-1724,-573
2499,-1410,-1089
2673,-1105,-1568
2763,-750,-2013
2371,-181,-2190
2013,408,-2421
1670,841,-2511
1266,1192,-2458
845,1530,-2375
259,1819,-2078
-268,2037,-1769
-693,2140,-1447
-1060,1897,-837
-1443,1971,-528
-1815,1678,137
-2165,1662,503
-2413,1390,1023
-2318,1084,1234
-2252,602,1650
-2013,123,1890
-1786,-305,2091
-1464,-837,2301
-1142,-1175,2317
-610,-1567,2177
-61,-1843,1904
503,-2140,1637
903,-2396,1493
1320,-2466,1146
1637,-2318,681
2013,-2116,103
2322,-1872,-450
2503,-1551,-952
2619,-1208,-1411
2582,-796,-1786
2392,-330,-2062
2186,107,-2293
1856,660,-2516
1447,1117,-2564
1035,1431,-2466
449,1757,-2206
-152,2054,-1902
-651,2297,-1646
-1150,2355,-1205
-1555,2454,-899
-1951,2343,-392
-2334,2107,227
-2582,1885,697
-2689,1497,1192
-2714,1200,1514
-2574,598,1976
-2376,12,2364
-2046,-511,2557
-1670,-1097,2767
-1361,-1563,2924
-730,-2070,2800
-206,-2446,2652
433,-2879,2446
994,-3250,2256
1485,-3390,1905
1930,-3155,1225
2351,-3040,689
2677,-2739,62
3077,-2442,-635
3287,-2041,-1246
3366,-1633,-1733
3180,-1027,-2153
3081,-462,-2619
2739,284,-3023
2293,709,-3002
1827,1344,-3171
1097,1761,-2858
519,2244,-2763
-127,2598,-2471
-647,2899,-2252
-1188,2916,-1728
-1538,2380,-842
-2000,2355,-355
-2508,2235,273
-2796,1967,829
-2912,1530,1382
-2805,1080,1725
-2689,519,2170
-2326,-115,2441
-1984,-792,2776
-1555,-1390,2945
-1076,-1889,2965
-486,-2223,2709
317,-2565,2248
688,-2846,2158
1324,-3089,1765
1773,-3003,1230
2227,-2854,627
2631,-2598,-33
3040,-2330,-710
3180,-1889,-1291
3176,-1406,-1770
3048,-804,-2244
2640,-132,-2508
2417,532,-2949
1975,1072,-3047
1604,1596,-3200
965,2046,-3011
305,2330,-2635
-284,2594,-2310
-957,2784,-1827
-1344,2528,-1184
-1724,2268,-544
-2004,1971,33
-2409,1769,640
-2611,1447,1164
-2598,1093,1505
-2607,503,2104
-2318,-37,2355
-1885,-660,2545
-1485,-1188,2673
-952,-1641,2593
-449,-2103,2552
193,-2425,2232
734,-2759,2025
1390,-2904,1514
1786,-2879,1093
2083,-2578,495
2487,-2314,-173
2821,-2017,-804
2924,-1480,-1444
3036,-1134,-1902
3229,-717,-2512
2965,-90,-2875
2359,610,-2969
1802,1068,-2870
1266,1452,-2718
581,1810,-2391
-74,2169,-2095
-614,2458,-1844
-1138,2413,-1275
-1530,2301,-771
-1893,2140,-247
-2483,1988,495
-2673,1765,908
-2615,1357,1258
-2508,845,1663
-2417,276,2141
-2087,-292,2379
-1786,-907,2693
-1340,-1373,2713
-787,-1868,2655
-189,-2182,2371
391,-2458,2067
882,-2673,1791
1501,-2792,1291
1852,-2677,825
2289,-2512,223
3011,-2656,-355
3300,-2392,-908
3324,-1798,-1526
3159,-1171,-1988
2846,-457,-2389
2462,111,-2573
2190,734,-2924
1769,1332,-3101
1229,1728,-2957
552,2041,-2593
-57,2396,-2339
-651,2706,-2055
-1192,2937,-1745
-1670,2825,-1155
-1988,2380,-392
-2099,1810,289
-2582,1765,817
-2714,1402,1312
-2697,1031,1666
-2615,437,2178
-2301,-222,2523
-1926,-759,2685
-1435,-1419,2854
-998,-1773,2771
-350,-2272,2622
222,-2499,2277
907,-2945,2038
1419,-3196,1777
1959,-3168,1209
2446,-3081,635
2693,-2673,-20
3110,-2326,-784
3159,-1872,-1287
3300,-1456,-1844
3159,-853,-2306
2763,-169,-2594
2388,495,-2883
1881,994,-2875
1493,1575,-3068
841,2054,-2895
123,2400,-2523
-433,2718,-2285
-998,2800,-1802
-1464,2805,-1341
-1848,2503,-655
-2198,2116,82
-2594,1984,610
-2813,1612,1201
-2652,1138,1514
-2454,511,1943
-2252,-86,2338
-1980,-693,2673
-1480,-1196,2676
-1072,-1744,2816
-441,-2103,2544
103,-2462,2359
622,-2714,2092
1258,-2767,1509
1757,-2809,1052
2140,-2697,557
2598,-2400,-198
2941,-2120,-821
3056,-1650,-1406
2945,-1150,-1795
2829,-532,-2297
2582,123,-2705
2264,717,-2981
1782,1237,-3019
1245,1600,-2845
618,2025,-2643
20,2376,-2396
-515,2590,-2075
-1097,2734,-1637
-1468,2536,-1068
-1691,1938,-247
-1856,1493,363
-2244,1369,875
-2598,1241,1357
-2495,738,1757
-2371,214,2157
-2070,-437,2507
-1761,-891,2652
-1332,-1394,2726
-742,-1823,2565
-222,-2182,2404
433,-2582,2149
928,-2743,1815
1435,-2838,1403
1885,-2635,750
2301,-2421,120
2739,-2260,-479
3036,-1889,-1147
3201,-1538,-1663
3196,-1122,-2074
2986,-507,-2479
2503,181,-2684
2145,771,-2916
1674,1258,-2932
1134,1625,-2759
540,2124,-2664
-119,2388,-2269
-614,2574,-1960
-1192,2404,-1212
-1555,2351,-796
-2013,2260,-247
-2413,1980,433
-2747,1839,908
-2751,1348,1403
-2805,924,1881
-2574,325,2249
-2211,-338,2549
-1947,-886,2833
-1443,-1509,2952
-981,-1959,2940
-325,-2343,2668
321,-2718,2397
812,-3130,2318
1443,-3345,1902
1992,-3238,1246
2392,-3031,639
2784,-2751,-33
3110,-2330,-780
3254,-1951,-1303
3271,-1485,-1786
3130,-825,-2305
2899,-214,-2685
2615,486,-3101
2169,1006,-3175
1683,1563,-3246
1093,2025,-3118
375,2318,-2693
-259,2668,-2409
-915,2400,-1485
-1414,2574,-1160
-1885,2565,-680
-2330,2425,-95
-2743,2120,623
-2751,1707,1044
-2846,1340,1506
-2623,705,1918
-2268,41,2227
-1914,-577,2491
-1538,-1097,2635
-1076,-1518,2594
-478,-2033,2511
123,-2367,2244
734,-2706,1972
1229,-2838,1609
1744,-2825,1081
2128,-2681,553
2495,-2376,-119
2751,-2029,-722
3089,-1654,-1435
3102,-1245,-1857
2986,-635,-2351
2842,-74,-2768
2318,561,-2879
1773,1130,-2903
1295,1546,-2841
639,1930,-2569
61,2322,-2383
-523,2652,-2129
-1072,2734,-1662
-1464,2545,-1081
-1856,2231,-375
-2227,2025,202
-2549,1843,706
-2697,1390,1307
-2557,924,1633
-2371,400,1971
-2116,-268,2384
-1782,-808,2590
-1357,-1373,2730
-874,-1843,2717
-297,-2252,2549
358,-2594,2236
841,-2994,2153
1431,-3093,1662
1918,-3011,1093
2343,-2899,556
2850,-2673,-177
3304,-2602,-702
3444,-2079,-1365
3126,-1464,-1662
3007,-730,-2277
2619,-94,-2525
2277,561,-2838
1868,1113,-2981
1588,1629,-3217
915,1992,-2907
61,2268,-2329
-387,2590,-2203
-924,2714,-1790
-1344,2388,-1044
-1810,2256,-446
-2157,1938,219
-2446,1749,697
-2685,1435,1250
-2586,1002,1584
-2545,503,2042
-2272,-140,2412
-1843,-680,2523
-1402,-1229,2631
-998,-1674,2672
-437,-2103,2540
177,-2413,2236
775,-2780,2005
1390,-2941,1551
1806,-2854,1048
2190,-2574,384
2520,-2289,-231
2829,-1942,-887
2904,-1526,-1378
3052,-1080,-1972
3126,-684,-2442
2904,-41,-2863
2400,573,-2973
1695,1060,-2755
1249,1476,-2725
594,1815,-2409
-82,2132,-2050
-585,2289,-1704
-1039,2277,-1238
-1439,2178,-739
-1868,1975,-107
-2334,1897,437
-2607,1596,1011
-2503,1200,1303
-2347,709,1638
-2202,198,2004
-1959,-416,2375
-1596,-919,2515
-1245,-1386,2631
-618,-1827,2445
24,-2182,2158
523,-2429,1906
1051,-2718,1667
1530,-2673,1143
2004,-2602,598
2541,-2706,165
3316,-2891,-425
3151,-2227,-924
3073,-1608,-1465
2891,-994,-1897
2536,-342,-2194
2223,292,-2515
1889,829,-2718
1501,1357,-2858
895,1699,-2594
169,2021,-2190
-297,2289,-1992
-853,2623,-1770
-1361,2648,-1287
-1798,2462,-664
-1959,2025,-66
-2314,1835,479
-2586,1551,1035
-2615,1192,1423
-2611,734,1877
-2396,119,2277
-2136,-445,2581
-1695,-969,2664
-1282,-1501,2783
-705,-1918,2623
-103,-2289,2392
511,-2574,2063
1064,-3040,1976
1662,-3262,1600
2087,-3159,1072
2491,-2879,388
2817,-2557,-260
3040,-2178,-862
3139,-1720,-1419
3229,-1212,-2017
2965,-511,-2454
2516,94,-2610
2211,680,-2891
1852,1212,-3064
1254,1691,-2945
672,2215,-2887
20,2512,-2532
-536,2726,-2190
-1113,2759,-1646
-1522,2664,-1142
-1959,2314,-355
-2202,2025,177
-2623,1930,693
-2681,1452,1229
-2557,973,1584
-2359,375,1984
-2145,-206,2351
-1823,-858,2681
-1369,-1369,2738
-915,-1827,2742
-330,-2297,2627
255,-2545,2290
841,-2850,2009
1427,-2899,1472
1819,-2842,1023
2289,-2730,441
2866,-2706,-160
3159,-2272,-887
3052,-1728,-1324
2937,-1241,-1696
2776,-540,-2236
2433,66,-2499
2095,672,-2767
1650,1188,-2838
1130,1571,-2701
536,1988,-2524
-82,2297,-2215
-622,2462,-1840
-1155,2652,-1497
-1571,2404,-833
-1881,2021,-140
-2136,1691,445
-2367,1509,858
-2586,1159,1427
-2417,655,1762
-2326,127,2199
-1967,-412,2379
-1641,-981,2622
-1229,-1485,2714
-631,-1823,2454
-94,-2178,2272
561,-2590,2029
1080,-2780,1700
1551,-2788,1237
1959,-2586,627
2334,-2351,17
2821,-2215,-606
3073,-1868,-1205
3209,-1513,-1696
3044,-944,-2100
2800,-292,-2508
2409,264,-2673
2083,841,-2924
1559,1357,-2916
1010,1728,-2738
449,2161,-2610
-214,2454,-2240
-688,2640,-1952
-1167,2466,-1299
-1678,2421,-743
-2070,2120,-50
-2429,1893,536
-2714,1703,1011
-2734,1307,1427
-2681,812,1869
-2351,206,2145
-2124,-424,2548
-1782,-932,2714
-1336,-1501,2837
-734,-1942,2676
-132,-2310,2442
441,-2677,2236
985,-3011,2026
1621,-3275,1654
2046,-3097,1051
2466,-2821,355
2858,-2578,-280
3192,-2285,-907
3267,-1716,-1551
3242,-1249,-1993
3023,-655,-2368
2739,28,-2767
2483,655,-3138
1926,1208,-3134
1493,1612,-3105
808,2079,-2887
74,2376,-2450
-532,2656,-2124
-1023,2458,-1435
-1493,2607,-1114
-2008,2462,-454
-2475,2367,108
-2734,2041,693
-2805,1612,1193
-2800,1146,1654
-2602,577,2025
-2264,-41,2305
-1885,-672,2557
-1423,-1225,2648
-1010,-1691,2701
-404,-2128,2532
350,-2433,2083
837,-2800,1963
1307,-2912,1605
1786,-2858,1072
2235,-2611,376
2561,-2310,-251
2871,-2079,-792
3147,-1683,-1464
3180,-1344,-1836
3003,-651,-2352
2829,-53,-2776
2334,540,-2874
1827,1134,-2961
1303,1546,-2849
684,1959,-2643
61,2392,-2453
-536,2701,-2165
-1076,2788,-1712
-1505,2508,-1003
-1860,2305,-445
-2305,2095,210
-2549,1782,767
-2660,1427,1233
-2541,985,1556
-2363,375,1988
-2132,-198,2330
-1749,-800,2549
-1274,-1398,2672
-878,-1835,2713
-280,-2211,2491
400,-2520,2120
928,-2908,1980
1439,-3036,1597
1909,-2978,1069
2396,-2879,483
2866,-2772,-94
3436,-2635,-801
3341,-2029,-1312
3213,-1439,-1774
3036,-771,-2265
2648,-57,-2591
2355,552,-2907
2013,1105,-3118
1588,1650,-3238
994,2095,-3089
214,2351,-2565
-313,2722,-2409
-944,2949,-2005
-1402,2792,-1390
-1856,2516,-660
-2087,2070,17
-2421,1835,586
-2627,1571,1056
-2648,1179,1469
-2693,614,2079
-2499,33,2466
-2058,-639,2697
-1579,-1150,2729
-1200,-1699,2899
-561,-2161,2722
61,-2462,2401
598,-2842,2244
1266,-3073,1807
1782,-3192,1410
2190,-2957,767
2491,-2598,107
2899,-2338,-561
3007,-1810,-1197
3135,-1443,-1692
3159,-891,-2268
3085,-354,-2731
2685,342,-3027
2128,895,-3023
1637,1348,-2985
973,1777,-2750
99,2054,-2153
-371,2499,-2128
-866,2454,-1588
-1369,2355,-986
-1790,2211,-421
-2211,2074,137
-2652,2013,639
-2677,1522,1155
-2508,1010,1498
-2437,490,1947
-2173,-82,2255
-1893,-639,2532
-1406,-1212,2618
-998,-1662,2660
-363,-2066,2429
284,-2334,2050
829,-2623,1794
1357,-2726,1369
1848,-2660,812
2223,-2487,264
2912,-2602,-310
3432,-2528,-904
3238,-1885,-1353
3081,-1278,-1803
2759,-581,-2178
2450,74,-2524
2124,614,-2738
1777,1282,-3059
1249,1687,-2936
598,1938,-2536
-45,2310,-2265
-660,2615,-1955
-1179,2755,-1576
-1604,2615,-1011
-1815,2025,-210
-1951,1567,384
-2462,1650,812
-2574,1262,1312
-2524,837,1687
-2371,247,2124
-2132,-350,2482
-1728,-899,2627
-1258,-1365,2623
-796,-1831,2627
-123,-2272,2395
478,-2512,2034
1060,-3019,1959
1571,-3238,1667
2099,-3172,1073
2491,-2953,462
2809,-2528,-281
3077,-2215,-862
3172,-1732,-1440
3184,-1237,-1947
2994,-561,-2433
2541,90,-2631
2173,680,-2853
1724,1175,-2899
1307,1592,-2899
688,2145,-2833
33,2433,-2466
-536,2652,-2116
-1093,2615,-1522
-1600,2598,-998
-1955,2338,-383
-2310,2083,227
-2697,1914,783
-2693,1452,1241
-2582,998,1584
-2425,363,2062
-2178,-235,2413
-1848,-829,2677
-1386,-1381,2767
-961,-1848,2809
-321,-2248,2569
404,-2644,2240
792,-2941,2149
1369,-3011,1642
1827,-2945,1118
2334,-2871,537
2970,-2842,-128
3205,-2495,-710
3176,-1827,-1349
3126,-1406,-1720
2957,-717,-2240
2722,-70,-2652
2318,594,-2912
1914,1167,-3081
1344,1563,-2907
792,2041,-2833
169,2322,-2491
-453,2677,-2224
-965,2697,-1732
-1439,2557,-1118
-1769,2112,-343
-1955,1650,305
-2314,1551,763
-2722,1357,1365
-2561,907,1654
-2520,334,2186
-2223,-317,2540
-1893,-796,2689
-1509,-1373,2882
-907,-1769,2676
-350,-2198,2548
136,-2615,2479
870,-2928,2058
1472,-3163,1691
1934,-2928,994
2235,-2747,512
2730,-2479,-251
3040,-2161,-879
3126,-1699,-1427
3114,-1233,-1881
2953,-627,-2326
2594,-8,-2586
2198,610,-2808
1769,1142,-2911
1328,1518,-2846
664,1918,-2582
-57,2301,-2244
-581,2495,-1914
-1084,2293,-1209
-1452,2190,-738
-1967,2194,-227
-2252,1848,404
-2627,1724,903
-2623,1258,1365
-2644,845,1799
-2363,313,2050
-2046,-346,2392
-1678,-866,2544
-1282,-1369,2651
-709,-1835,2544
-33,-2140,2173
507,-2466,1959
1018,-2755,1737
1538,-2850,1312
2046,-2767,721
2458,-2611,153
2937,-2462,-475
3081,-2046,-1035
3118,-1538,-1580
3019,-990,-2029
2751,-325,-2426
2508,284,-2792
2165,792,-2957
1662,1344,-3006
1171,1749,-2920
523,2083,-2606
-140,2417,-2277
-688,2590,-1902
-1237,2619,-1382
-1724,2594,-870
-2116,2396,-280
-2586,2186,400
-2714,1806,908
-2871,1423,1448
-2739,998,1741
-2483,383,2100
-2169,-280,2449
-1827,-899,2726
-1348,-1369,2717
-849,-1881,2730
-177,-2310,2487
379,-2652,2273
969,-2982,2013
1497,-3258,1761
1971,-3147,1176
2425,-2899,474
2734,-2561,-173
2998,-2260,-738
3246,-1802,-1444
3250,-1361,-1889
3048,-701,-2347
2809,-198,-2611
2409,478,-2887
1926,1076,-3002
1402,1559,-2961
701,1967,-2668
20,2351,-2371
-449,2689,-2240
-1043,2825,-1782
-1419,2380,-961
-1790,2157,-367
-2223,2033,190
-2565,1872,693
-2640,1427,1213
-2598,973,1625
-2343,433,1910
-2103,-231,2334
-1736,-804,2540
-1311,-1381,2692
-862,-1852,2714
-284,-2178,2462
226,-2454,2228
870,-2805,1935
1406,-2912,1506
1934,-2854,920
2384,-2759,375
2833,-2631,-202
3320,-2479,-841
3229,-1835,-1394
3069,-1295,-1774
2833,-614,-2219
2417,57,-2474
2173,726,-2899
1806,1204,-3010
1398,1637,-3035
705,2041,-2746
94,2334,-2428
-523,2660,-2137
-1146,2772,-1626
-1555,2611,-1056
-1942,2322,-380
-2318,1992,326
-2582,1831,751
-2739,1439,1300
-2635,990,1645
-2627,437,2190
-2256,-235,2491
-1856,-726,2582
-1398,-1295,2693
-973,-1798,2771
-408,-2140,2548
363,-2569,2206
849,-2916,2067
1452,-3060,1608
1914,-3085,1171
2293,-2776,483
2652,-2454,-198
2990,-2182,-808
3060,-1658,-1402
3151,-1332,-1819
3328,-812,-2516
3064,-181,-2883
2503,486,-2989
1934,1006,-2940
1505,1447,-2952
808,1856,-2664
41,2215,-2256
-528,2594,-2066
-1047,2586,-1539
-1472,2553,-1081
-1955,2314,-359
-2297,2124,173
-2697,1971,726
-2668,1464,1204
-2446,985,1461
-2351,470,1881
-2128,-144,2272
-1769,-713,2482
-1348,-1266,2614
-907,-1765,2672
-330,-2128,2458
321,-2450,2129
903,-2730,1827
1468,-2792,1324
1930,-2739,809
2281,-2590,309
3019,-2821,-198
3304,-2508,-796
3176,-1802,-1374
2941,-1192,-1749
2644,-507,-2137
2285,103,-2388
1988,655,-2643
1612,1146,-2758
1031,1633,-2664
474,1947,-2421
-206,2264,-2058
-742,2582,-1840
-1332,2685,-1353
-1683,2557,-874
-1967,2054,-87
-2239,1732,507
-2466,1551,915
-2450,1188,1262
-2429,796,1633
-2305,148,2157
-1967,-449,2416
-1575,-944,2519
-1146,-1357,2503
-499,-1868,2367
70,-2136,2066
610,-2470,1860
1159,-2751,1592
1637,-2800,1163
2140,-2767,627
2475,-2598,123
2763,-2173,-590
2953,-1765,-1188
3048,-1435,-1613
3089,-891,-2198
2627,-193,-2434
2268,371,-2639
1860,911,-2771
1509,1381,-2890
924,1839,-2763
123,2252,-2375
-309,2495,-2186
-858,2569,-1711
-1361,2673,-1312
-1761,2491,-730
-2054,2182,-128
-2466,1984,482
-2627,1592,1035
-2532,1122,1410
-2400,631,1769
-2215,66,2149
-1918,-523,2441
-1468,-1089,2557
-1060,-1567,2627
-594,-2021,2615
82,-2355,2273
585,-2796,2211
1155,-2887,1732
1650,-2982,1332
2206,-2916,710
2751,-3192,441
3312,-2941,-371
3106,-2161,-945
3077,-1617,-1460
3019,-1109,-1910
2838,-495,-2343
2499,243,-2742
2190,742,-2932
1744,1303,-3047
1138,1728,-2866
556,2194,-2750
-160,2549,-2389
-660,2726,-2066
-1216,2821,-1605
-1744,2726,-982
-2008,2281,-273
-2289,1852,437
-2508,1707,801
-2875,1480,1395
-2627,899,1728
-2615,387,2228
-2314,-235,2549
-1893,-825,2718
-1501,-1266,2767
-816,-1728,2544
-280,-2157,2437
280,-2528,2248
928,-2821,1893
1373,-2871,1498
1860,-2673,813
2231,-2499,268
2685,-2252,-433
2887,-1860,-1027
3056,-1423,-1633
2970,-961,-2009
2772,-309,-2463
2417,292,-2709
2046,754,-2800
1588,1266,-2854
1060,1666,-2726
429,2025,-2454
-251,2318,-2067
-746,2359,-1613
-1183,2169,-986
-1666,2231,-565
-2029,1860,169
-2442,1773,669
-2574,1530,1044
-2512,1146,1366
-2384,577,1807
-2058,53,2005
-1823,-478,2301
-1447,-994,2441
-973,-1452,2425
-342,-1831,2173
206,-2165,1959
742,-2483,1741
1324,-2784,1460
1893,-2743,850
2285,-2800,515
2941,-2891,-50
3242,-2479,-763
3180,-1905,-1275
3139,-1464,-1675
3064,-841,-2223
2788,-210,-2578
2578,412,-2990
2256,1023,-3279
1724,1575,-3299
1233,2136,-3369
486,2442,-2928
-210,2895,-2685
-858,3097,-2239
-1435,3262,-1827
-1967,3287,-1320
-2425,3135,-710
-2813,2937,-124
-3267,2623,644
-3349,2107,1242
-3411,1678,1733
-3312,1056,2256
-3069,383,2686
-2652,-416,3068
-2330,-1084,3414
-1753,-1650,3403
-1155,-2277,3432
-470,-2780,3250
297,-3205,2908
870,-3729,2859
1592,-4092,2500
2083,-3955,1872
2635,-3741,1106
3069,-3456,387
3526,-3093,-433
3856,-2722,-1134
3984,-2169,-1815
3993,-1538,-2455
3836,-820,-3016
3576,-160,-3416
3015,655,-3670
2454,1311,-3765
1848,1905,-3753
981,2347,-3328
259,2813,-3072
-457,3250,-2793
-1117,3465,-2348
-1695,2998,-1303
-2136,2825,-689
-2805,2833,-28
-3300,2524,776
-3469,2087,1382
-3473,1546,1927
-3258,874,2384
-2904,152,2752
-2536,-655,3191
-2004,-1320,3324
-1534,-2008,3542
-754,-2495,3249
37,-2916,2879
730,-3295,2565
1410,-3477,2067
1959,-3543,1584
2569,-3349,780
3023,-3097,74
3539,-2813,-726
3885,-2462,-1423
3823,-1835,-1988
3613,-1093,-2520
3254,-259,-2995
2796,519,-3315
2400,1155,-3555
1922,1732,-3654
1216,2264,-3480
416,2697,-3113
-330,3044,-2714
-1134,3345,-2211
-1687,3275,-1588
-2289,3023,-734
-2693,2759,-66
-3069,2347,722
-3275,1951,1324
-3291,1456,1835
-3184,837,2347
-2982,66,2916
-2536,-639,3175
-1959,-1348,3307
-1522,-1901,3423
-742,-2569,3311
-20,-2998,3018
709,-3361,2652
1493,-3762,2269
2120,-4030,1910
2681,-3679,998
3093,-3349,256
3469,-2928,-541
3687,-2380,-1307
3823,-1864,-1959
3819,-1311,-2508
3724,-556,-3168
3366,144,-3510
2739,961,-3700
2116,1559,-3675
1431,2124,-3555
552,2553,-3105
-247,3048,-2801
-903,3258,-2355
-1604,3312,-1708
-2128,3118,-990
-2635,2904,-269
-3151,2656,495
-3366,2272,1094
-3295,1637,1658
-3036,936,2100
-2866,276,2590
-2623,-486,3109
-2091,-1155,3246
-1645,-1831,3476
-891,-2376,3267
-94,-2800,2894
627,-3250,2623
1291,-3423,2132
1926,-3481,1555
2553,-3304,751
3040,-3135,95
3819,-3155,-664
4030,-2722,-1308
3832,-2008,-1824
3601,-1171,-2430
3295,-420,-2875
2842,350,-3192
2433,1068,-3501
1843,1670,-3513
1089,2140,-3229
210,2528,-2738
-474,2879,-2405
-1122,3159,-2037
-1773,3250,-1477
-2219,2978,-759
-2400,2285,115
-2854,2153,701
-3073,1777,1296
-2998,1229,1769
-3011,577,2434
-2706,-111,2817
-2285,-837,3122
-1732,-1476,3208
-1155,-2083,3238
-412,-2549,2961
206,-2879,2673
1043,-3258,2215
1695,-3634,1939
2272,-3621,1349
2817,-3460,643
3106,-2994,-112
3444,-2553,-891
3547,-2017,-1530
3588,-1522,-2066
3415,-746,-2669
2920,53,-2973
2549,680,-3229
2008,1402,-3410
1414,1930,-3344
713,2446,-3159
0,2871,-2871
-750,3048,-2298
-1410,3267,-1857
-1922,3196,-1274
-2417,2941,-524
-2833,2590,243
-3213,2248,965
-3291,1744,1547
-3155,1134,2021
-2908,474,2434
-2673,-292,2965
-2227,-990,3217
-1654,-1683,3337
-1159,-2239,3398
-404,-2689,3093
222,-3093,2871
948,-3510,2562
1666,-3568,1902
2248,-3568,1320
2916,-3625,709
3654,-3663,9
3984,-3209,-775
3782,-2347,-1435
3770,-1720,-2050
3671,-1006,-2665
3353,-259,-3094
2957,523,-3480
2437,1175,-3612
1860,1786,-3646
1122,2351,-3473
416,2821,-3237
-342,3192,-2850
-1089,3258,-2169
-1670,3291,-1621
-2202,2961,-759
-2545,2516,29
-2982,2227,755
-3328,1934,1394
-3456,1472,1984
-3271,775,2496
-3003,99,2904
-2598,-627,3225
-2112,-1324,3436
-1497,-1922,3419
-754,-2479,3233
-37,-2982,3019
709,-3353,2644
1410,-3617,2207
2013,-3621,1608
2545,-3333,788
3011,-3077,66
3456,-2755,-701
3646,-2293,-1353
3675,-1711,-1964
3568,-1010,-2558
3188,-280,-2908
2792,507,-3299
2318,1126,-3444
1699,1650,-3349
1023,2227,-3250
94,2677,-2771
-602,2970,-2368
-1212,3007,-1795
-1790,2932,-1142
-2413,2924,-511
-2784,2495,289
-3172,2338,834
-3279,1819,1460
-3205,1270,1935
-2982,627,2355
-2594,-82,2676
-2231,-858,3089
-1699,-1439,3138
-1051,-2066,3117
-284,-2479,2763
437,-2850,2413
1064,-3221,2157
1707,-3485,1778
2281,-3246,965
2788,-3077,289
3333,-2953,-380
3543,-2450,-1093
3638,-1901,-1737
3522,-1245,-2277
3250,-565,-2685
2945,193,-3138
2524,858,-3382
1963,1493,-3456
1340,1971,-3311
631,2470,-3101
-140,2871,-2731
-841,3176,-2335
-1551,3205,-1654
-2041,3176,-1135
-2512,2908,-396
-3019,2673,346
-3172,2227,945
-3262,1744,1518
-3155,1179,1976
-2937,429,2508
-2524,-305,2829
-2145,-981,3126
-1571,-1645,3216
-907,-2239,3146
-231,-2726,2957
511,-3163,2652
1225,-3597,2372
1835,-3877,2042
2384,-3683,1299
2850,-3423,573
3254,-3011,-243
3617,-2627,-990
3828,-2153,-1675
3861,-1633,-2228
3638,-812,-2826
3444,-140,-3304
2941,635,-3576
2347,1287,-3634
1645,1934,-3579
903,2508,-3411
132,2949,-3081
-556,3366,-2810
-1237,3559,-2322
-1852,3415,-1563
-2272,3064,-792
-2751,2809,-58
-3217,2512,705
-3394,2025,1369
-3366,1493,1873
-3139,750,2389
-2825,4,2821
-2450,-688,3138
-1938,-1373,3311
-1414,-1988,3402
-631,-2520,3151
127,-2916,2789
759,-3361,2602
1538,-3605,2067
2062,-3572,1510
2640,-3419,779
3036,-3060,24
3679,-2862,-817
3935,-2442,-1493
3724,-1810,-1914
3522,-985,-2537
3151,-193,-2958
2710,532,-3242
2314,1245,-3559
1839,1810,-3649
1072,2351,-3423
202,2664,-2866
-449,3126,-2677
-1192,3271,-2079
-1707,3048,-1341
-2285,2932,-647
-2640,2582,58
-3073,2268,805
-3201,1827,1374
-3176,1258,1918
-3147,643,2504
-2817,-127,2944
-2384,-742,3126
-1819,-1443,3262
-1179,-2000,3179
-490,-2582,3072
214,-2912,2698
891,-3324,2433
1637,-3580,1943
2256,-3650,1394
2714,-3374,660
3126,-3085,-41
3539,-2668,-871
3737,-2128,-1609
3931,-1707,-2224
4026,-1163,-2863
3663,-338,-3325
3089,408,-3497
2454,1051,-3505
1881,1650,-3531
1039,2252,-3291
247,2631,-2878
-466,3097,-2631
-1167,3275,-2108
-1749,3254,-1505
-2314,3077,-763
-2788,2800,-12
-3229,2574,655
-3374,2041,1333
-3155,1476,1679
-3019,693,2326
-2805,41,2764
-2437,-693,3130
-1909,-1311,3220
-1369,-2000,3369
-627,-2499,3126
185,-2866,2681
812,-3159,2347
1505,-3407,1902
2107,-3394,1287
2656,-3155,499
3225,-3135,-90
3935,-3089,-846
3836,-2417,-1419
3675,-1732,-1943
3345,-924,-2421
3040,-136,-2904
2615,627,-3242
2186,1245,-3431
1617,1773,-3390
779,2260,-3039
57,2607,-2664
-684,3019,-2335
-1344,3312,-1968
-1926,3267,-1341
-2347,2924,-577
-2578,2367,211
-2941,2103,838
-3110,1617,1493
-2912,1093,1819
-2821,429,2392
-2483,-342,2825
-2054,-948,3002
-1497,-1501,2998
-903,-2066,2969
-94,-2549,2643
598,-2937,2339
1179,-3300,2121
1823,-3382,1559
2392,-3399,1007
2908,-3172,264
3283,-2833,-450
3543,-2392,-1151
3592,-1798,-1794
3749,-1266,-2483
3353,-552,-2801
2825,276,-3101
2367,936,-3303
1835,1530,-3365
1299,2091,-3390
519,2574,-3093
-292,2904,-2612
-882,3056,-2174
-1489,3106,-1617
-1992,2932,-940
-2248,2450,-202
-2759,2231,528
-3052,1893,1159
-3056,1480,1576
-2842,717,2125
-2578,189,2389
-2371,-614,2985
-1827,-1237,3064
-1373,-1893,3266
-647,-2355,3002
-37,-2718,2755
635,-3225,2590
1353,-3349,1996
