I0,I1,I2
-4912,1575,3337
-4079,-2957,7036
-2631,-3799,6430
-750,-4339,5089
3386,-4648,1262
3766,-4516,750
4776,-4013,-763
4855,-2796,-2059
4116,-594,-3522
3044,3399,-6443
1423,3964,-5387
-3308,4405,-1097
-3580,4665,-1085
-4607,4224,383
-5172,3320,1852
-4752,1518,3234
-3865,-3122,6987
-2458,-3712,6170
-676,-4285,4961
3415,-4607,1192
3741,-4413,672
4776,-3914,-862
5020,-2619,-2401
4281,-495,-3786
2970,3316,-6286
1365,4096,-5461
-3300,4578,-1278
-3617,4809,-1192
-4710,4166,544
-5271,3440,1831
-4970,1654,3316
-4026,-2202,6228
-2660,-3716,6376
-825,-4228,5053
3630,-4591,961
3869,-4533,664
4846,-3997,-849
4962,-2780,-2182
4153,-627,-3526
2982,3539,-6521
1513,3988,-5501
-2887,4500,-1613
-3592,4665,-1073
-4574,4211,363
-5106,3353,1753
-4780,1744,3036
-3848,-2483,6331
-2347,-3613,5960
-598,-4199,4797
3192,-4541,1349
3823,-4269,446
4620,-3745,-875
4512,-2289,-2223
3984,-313,-3671
2767,3349,-6116
1043,3951,-4994
-3807,4327,-520
-3489,4426,-937
-4603,4013,590
-4912,3019,1893
-4327,1258,3069
-3469,-3856,7325
-1819,-3720,5539
-301,-4195,4496
2998,-4389,1391
3939,-4083,144
4772,-3531,-1241
4673,-1959,-2714
3889,618,-4507
2652,3625,-6277
882,4026,-4908
-3341,4483,-1142
-3700,4578,-878
-4714,3984,730
-5160,3052,2108
-4545,1130,3415
-3592,-3968,7560
-1959,-3766,5725
-396,-4446,4842
3081,-4719,1638
4112,-4347,235
4941,-3753,-1188
5065,-2330,-2735
4158,-156,-4002
2945,3473,-6418
1237,4166,-5403
-3568,4554,-986
-3601,4735,-1134
-4653,4240,413
-5201,3473,1728
-4719,1637,3082
-3844,-2755,6599
-2248,-3799,6047
-585,-4294,4879
3320,-4640,1320
3972,-4261,289
4764,-3712,-1052
4809,-2417,-2392
4120,-375,-3745
2747,3394,-6141
1196,3856,-5052
-3753,4335,-582
-3559,4471,-912
-4578,4059,519
-4908,3069,1839
-4273,1188,3085
-3526,-3910,7436
-1926,-3811,5737
-231,-4356,4587
3242,-4628,1386
4083,-4257,174
4937,-3675,-1262
4780,-2169,-2611
4038,-90,-3948
2697,3481,-6178
1097,4034,-5131
-3844,4446,-602
-3630,4648,-1018
-4714,4129,585
-5185,3192,1993
-4525,1270,3255
-3654,-4042,7696
-2021,-3955,5976
-276,-4512,4788
3126,-4756,1630
4145,-4570,425
5003,-3939,-1064
4995,-2594,-2401
4195,-383,-3812
3048,3374,-6422
1464,4046,-5510
-2404,4496,-2092
-3580,4591,-1011
-4603,4232,371
